run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,1987,87.5,9.2,94.0,104.3
2,2247,183.7,8.8,94.9,183.7
3,2340,170.3,8.7,90.4,170.3
4,2238,187.9,9.0,90.0,187.9
5,2425,192.5,8.6,99.0,192.5
