run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,1476,102.3,7.2,83.3,102.3
2,2729,159.1,8.4,87.1,159.1
3,1906,96.8,7.5,87.8,96.8
4,2545,164.8,8.2,99.4,164.8
5,2089,182.5,7.8,88.5,182.5
