run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,3762,296.0,9.8,72.0,296.0
2,3396,193.6,8.7,72.2,193.6
3,4253,309.8,9.6,82.8,309.8
4,4285,317.5,10.3,80.6,317.5
5,8202,387.9,9.7,80.3,387.9
