run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,11657,276.3,11.7,65.5,276.3
2,8560,691.9,16.9,73.9,691.9
3,10034,308.8,16.9,84.1,564.5
4,4145,222.5,6.4,68.9,222.5
5,21472,390.2,12.1,74.3,390.2
