scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
purchase,1,5,60,2026-09-02T15:51:17Z,2026-09-02T15:52:26Z,2000,8.57,18.81,0,300,
purchase,1,10,60,2026-09-02T15:52:41Z,2026-09-02T15:53:59Z,3802,8.61,18.56,0,601,
purchase,1,20,60,2026-09-02T15:54:14Z,2026-09-02T15:55:46Z,7402,8.82,17.48,0,1201,
