scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
screens,1,800,90,2026-09-02T15:40:28Z,2026-09-02T15:42:00Z,72181,2.81,31.22,0,,
screens,1,1600,90,2026-09-02T15:42:15Z,2026-09-02T15:43:48Z,125121,102.17,237.67,0,,
screens,2,800,90,2026-09-02T15:44:03Z,2026-09-02T15:45:35Z,72181,3.31,43.04,0,,
screens,2,1600,90,2026-09-02T15:45:50Z,2026-09-02T15:47:23Z,125609,101.09,234.34,0,,
screens,3,800,90,2026-09-02T15:47:38Z,2026-09-02T15:49:10Z,72181,3.47,47.2,0,,
screens,3,1600,90,2026-09-02T15:49:25Z,2026-09-02T15:50:57Z,124070,106.5,239.21,0,,
