scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
purchase,1,40,60,2026-09-02T16:58:15Z,2026-09-02T17:00:29Z,14602,9.57,19.89,0,2401,
purchase,1,80,60,2026-09-02T17:00:44Z,2026-09-02T17:03:50Z,29002,9.09,29.88,0,4801,
purchase,1,160,60,2026-09-02T17:04:05Z,2026-09-02T17:09:09Z,57118,9.05,328.55,0,9259,
purchase,2,40,60,2026-09-02T17:09:24Z,2026-09-02T17:11:28Z,14602,8.76,18.89,0,2401,
purchase,2,80,60,2026-09-02T17:11:43Z,2026-09-02T17:14:49Z,29002,9.11,28.53,0,4801,
purchase,2,160,60,2026-09-02T17:15:04Z,2026-09-02T17:20:12Z,56942,9.12,340.14,0,9171,
