scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
screens,1,400,90,2026-09-02T16:51:02Z,2026-09-02T16:52:36Z,35722,21.61,442.04,0,,
screens,1,800,90,2026-09-02T16:52:51Z,2026-09-02T16:54:24Z,72180,5.11,98.26,0,,
screens,2,400,90,2026-09-02T16:54:39Z,2026-09-02T16:56:11Z,36181,2.4,7.28,0,,
screens,2,800,90,2026-09-02T16:56:26Z,2026-09-02T16:58:00Z,72082,4.66,107.65,0,,
