scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
screens,1,400,90,2026-09-02T17:30:47Z,2026-09-02T17:32:21Z,36180,3.1,52.8,0,,
screens,2,400,90,2026-09-02T17:32:36Z,2026-09-02T17:34:09Z,36180,2.5,7.73,0,,
screens,3,400,90,2026-09-02T17:34:24Z,2026-09-02T17:35:57Z,36181,2.47,7.6,0,,
