run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,6415,381.7,16.1,76.6,381.7
2,6698,854.8,14.3,58.3,854.8
3,5483,455.6,13.8,69.3,455.6
4,5312,821.2,13.9,50.9,821.2
5,6030,343.9,13.2,74.0,343.9
