scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,2,50,GET,/api/v1/screens/plans,2,1504,1.0665391969407265,1.195946462715105,11
screens,2,50,GET,/api/v1/screens/home,2,1487,3.3541265744916813,5.112349381410307,25
screens,2,50,POST,/api/v1/auth/otp/verify,2,30,7.017301278719997,11.234286564802554,11
screens,2,50,POST,/api/v1/auth/otp/request,2,30,2.052,5.675758387199998,9
screens,2,50,POST,/api/v1/top-ups,2,30,12.571701632040952,17.56400459502845,18
screens,2,50,GET,/api/v1/dev/otp/[msisdn],2,30,0.625,1.15,1
screens,2,50,POST,/api/v1/purchases/{orderId}/confirm,2,30,12.705443138764792,24.40472217414479,27
screens,2,50,POST,/api/v1/purchases,2,30,10.699320537907195,16.947723732044995,26
screens,2,50,GET,/health,2,19,0.5,0.9500000000000001,0
screens,2,100,GET,/api/v1/screens/plans,2,3001,1.0283343577135833,1.1943392747387829,21
screens,2,100,GET,/api/v1/screens/home,2,2999,3.1815713032258057,5.030380200090562,45
screens,2,100,GET,/api/v1/screens/plans/{planId},2,2998,1.058237145855194,1.199800629590766,12
screens,2,100,GET,/health,2,19,0.5,0.9500000000000001,0
screens,2,200,GET,/api/v1/screens/plans/{planId},2,6048,0.9227952395483674,1.1956876734046769,36
screens,2,200,GET,/api/v1/screens/plans,2,5996,0.7922832980972516,1.1897965260545904,29
screens,2,200,GET,/api/v1/screens/home,2,5957,2.031669205658324,4.962950221595028,59
screens,2,200,POST,/api/v1/auth/otp/verify,2,30,6.656116654079997,10.476418026700795,15
screens,2,200,POST,/api/v1/auth/otp/request,2,30,2.0303999999999998,5.417769369599998,6
screens,2,200,POST,/api/v1/top-ups,2,30,11.888133931007994,15.278629728131474,30
screens,2,200,GET,/api/v1/dev/otp/[msisdn],2,30,0.5769230769230769,1.1666666666666665,2
screens,2,200,POST,/api/v1/purchases/{orderId}/confirm,2,30,13.306064087142765,20.337268478453993,22
screens,2,200,POST,/api/v1/purchases,2,30,10.21298778618414,17.974858503684086,21
screens,2,200,GET,/health,2,19,0.5588235294117647,1.105,1
screens,2,400,GET,/api/v1/screens/home,2,12023,1.9947480598309126,6.167357643672659,56
screens,2,400,GET,/api/v1/screens/plans/{planId},2,11987,0.6834872847531075,1.757402584615384,37
screens,2,400,GET,/api/v1/screens/plans,2,11918,0.6356266666666667,1.1913611793611794,37
screens,2,400,GET,/health,2,19,0.5277777777777778,1.74528,2
screens,3,25,GET,/api/v1/screens/plans/{planId},2,793,1.0766143106457242,1.7693485714285702,24
screens,3,25,GET,/api/v1/screens/home,2,731,3.280999219199999,5.097476881763263,36
screens,3,25,GET,/api/v1/screens/plans,2,727,1.0596234309623431,1.1965062761506275,10
screens,3,25,POST,/api/v1/auth/otp/verify,2,30,6.501323243519997,10.164354511011835,10
screens,3,25,POST,/api/v1/auth/otp/request,2,30,1.9584,3.941498879999999,4
screens,3,25,POST,/api/v1/top-ups,2,30,11.616405155442097,16.947723732044995,18
screens,3,25,GET,/api/v1/dev/otp/[msisdn],2,30,0.5769230769230769,1.125,1
screens,3,25,POST,/api/v1/purchases/{orderId}/confirm,2,30,13.234236480734436,17.974858503684086,28
screens,3,25,POST,/api/v1/purchases,2,30,9.629388484116475,14.123103110037496,14
screens,3,25,GET,/health,2,18,0.5,0.9499999999999998,0
screens,3,50,GET,/api/v1/screens/plans/{planId},2,1544,1.0741490340386384,1.7863199999999995,9
screens,3,50,GET,/api/v1/screens/plans,2,1501,1.0506996770721206,1.1961141011840688,11
screens,3,50,GET,/api/v1/screens/home,2,1427,3.2517307096267185,4.838829728914282,23
screens,3,50,GET,/health,2,18,0.5,0.9499999999999998,0
screens,3,100,GET,/api/v1/screens/home,2,3026,3.117449830602171,4.6777047197538435,26
screens,3,100,GET,/api/v1/screens/plans/{planId},2,3023,1.046965554948059,1.1957189721159103,23
screens,3,100,GET,/api/v1/screens/plans,2,2952,1.0122532334921714,1.1931109598366234,32
screens,3,100,POST,/api/v1/auth/otp/verify,2,30,5.749469535085712,14.765062342311928,25
