scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
screens,1,400,90,2026-09-02T17:38:07Z,2026-09-02T17:39:42Z,36181,4.58,71.02,0,,
screens,2,400,90,2026-09-02T17:39:57Z,2026-09-02T17:41:30Z,36181,2.4,6.86,0,,
screens,3,400,90,2026-09-02T17:41:45Z,2026-09-02T17:43:17Z,36180,2.31,6.37,0,,
