run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,2015,274.3,10.1,96.9,274.3
2,1988,196.7,10.1,93.2,196.7
3,1963,396.2,7.4,98.2,396.2
4,2067,289.3,9.0,98.5,289.3
5,1915,284.5,8.3,97.4,284.5
