run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,4186,406.2,9.2,82.0,406.2
2,5628,608.3,15.7,97.4,608.3
3,5877,826.7,20.0,95.5,826.7
4,4683,414.4,8.2,85.2,414.4
5,4233,633.4,9.3,96.8,633.4
