run,start_to_healthy_ms,first_ms,p50_first100_ms,p95_first100_ms,max_first100_ms
1,2062,280.1,8.2,95.2,280.1
2,2021,205.3,8.8,92.3,205.3
3,4128,195.3,8.8,95.2,195.3
4,2227,194.5,9.1,98.5,194.5
5,2170,195.3,7.3,99.0,195.3
